messier;name;type;ra_hours;dec_degrees
M75;Globular cluster;Globular cluster;20.1013;-21.9167
M76;Little Dumbbell Nebula;Planetary nebula;1.0000;51.5667
M77;Cetus A or Squid Galaxy;Spiral galaxy;2.7113;-0.0000
M78;Diffuse nebula;Diffuse nebula;5.7796;0.0000
M79;Globular cluster;Globular cluster;5.4029;-24.5167
M80;Globular cluster;Globular cluster;16.2840;-22.9667
M81;Bode's Galaxy;Spiral galaxy;9.9259;69.0500
M82;Cigar Galaxy;Starburst galaxy;9.9312;69.6667
M83;Southern Pinwheel Galaxy;Barred Spiral galaxy;13.6169;-29.8500
M84;Lenticular galaxy;Lenticular galaxy;12.4177;12.8833
M85;Lenticular galaxy;Lenticular galaxy;12.4233;18.1833
M86;Lenticular galaxy;Lenticular galaxy;12.4366;12.9333
M87;Virgo A;Elliptical galaxy;12.5137;12.3833
M88;Spiral galaxy;Spiral galaxy;12.5331;14.4167
M89;Elliptical galaxy;Elliptical galaxy;12.5944;12.5500
M90;Carabin Galaxy;Spiral galaxy;12.6138;13.1500
M91;Barred Spiral galaxy;Barred Spiral galaxy;12.5907;14.4833
M92;Globular cluster;Globular cluster;17.2854;43.1333
M93;Critter Cluster;Open cluster;7.0000;-23.8667
M94;Crocodile Eye or Cat's Eye Galaxy;Spiral galaxy;12.8481;41.1167
M95;Barred Spiral galaxy;Barred Spiral galaxy;10.7327;11.7000
M96;Spiral galaxy;Spiral galaxy;10.7794;11.8167
M97;Owl Nebula;Planetary nebula;11.2466;55.0167
M98;Spiral galaxy;Spiral galaxy;12.2301;14.9000
M99;St. Catherine's Wheel;Spiral galaxy;12.3138;14.4000
M100;Mirror Galaxy;Spiral galaxy;12.3819;15.8167
M101;Pinwheel Galaxy;Spiral galaxy;14.0535;54.3333
M102;Spindle Galaxy;Lenticular galaxy;15.1082;55.7500
M103;Open cluster;Open cluster;1.0000;60.7000
M104;Sombrero Galaxy;Spiral galaxy;12.6665;-11.6167
M105;Elliptical galaxy;Elliptical galaxy;10.7971;12.5667
M106;Spiral galaxy;Spiral galaxy;12.3160;47.3000
M107;Crucifix Cluster;Globular cluster;16.5422;-13.0500
M108;Surfboard Galaxy;Barred Spiral galaxy;11.1919;55.6667
M109;Vacuum Cleaner Galaxy;Barred Spiral galaxy;11.9600;53.3667
M110;Andromeda Satellite #2;Dwarf elliptical galaxy;0.6728;41.6833
